vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2022 Honda Civic,Honda,Civic,2022,STEERING,Safety-critical control issue,723,1,100,High,Dealer Service + Product Quality,24 hours,"Open 24-hour service action review; confirm customer messaging, dealer readiness, and repair/parts path.","I am reporting a severe steering safety defect on my 2022 Honda Civic that matches the symptoms of NHTSA Campaign Number 24V-744 and Honda TSB 23-037.At highway speeds (40–70 mph), the steering wheel ""sticks"" or ""notches"" in the center position. To make small lane adjustments, I must apply significant force to ""break"" the wheel loose. This causes the car to jerk or overcorrect, creating a high risk of a collision. Additionally, there is a metallic clicking/knocking noise coming from the steering rack during low-speed maneuvers.I have contacted Honda Corporate, but they denied a repair because "
2021 Tesla Model 3,Tesla,Model 3,2021,SERVICE BRAKES,Safety-critical control issue,70,1,89,High,Dealer Service + Product Quality,24 hours,"Open 24-hour service action review; confirm customer messaging, dealer readiness, and repair/parts path.","I drove into my neighbor’s driveway to drop her off. As I slowed down and applied the brakes to stop, the car failed to respond. It continued forward, running over the flower and plant pots at the edge of the driveway, crossing the backyard, and finally colliding with the trees and bushes at the rear of the property. All airbags deployed, and the vehicle was damaged beyond repair."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,WHEELS,Safety-critical control issue,2,0,80,High,Dealer Service,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,"There is a current recall on this type of vehicle because the spare tire is not the correct size for the vehicle. This is recall #N212346510. Unfortunately, my specific vehicle is not included in that recall for some unknown reason. I experienced a flat tire, road service came and replaced with the spare which is too small for the vehicle, and I was only able to travel to a tire dealership in order to have the original tire repaired and placed back on the vehicle. I still have the wrong size spare even though there is an open recall for this problem. The dealership will not replace the spare w"
2022 Hyundai Tucson,Hyundai,Tucson,2022,AIR BAGS,Safety-critical control issue,10,0,77,High,Safety & Compliance,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,"The contact owned a 2022 Hyundai Tucson. The contact stated that while her husband was driving at 25-30 MPH, another vehicle struck the front driver side, flinging the vehicle to the right side before another vehicle crashed into the front passenger side. The air bags failed to deploy. No warning light was illuminated. The contact's husband sustained back injuries, while the contact suffered a concussion. Medical attention was received for both. A police report was filed. The vehicle was towed to a tow yard, where it was deemed totaled by the insurance company. The manufacturer was made aware "
2022 Tesla Model 3,Tesla,Model 3,2022,STEERING,Safety-critical control issue,30,0,76,High,Dealer Service + Product Quality,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,"While using Tesla's Full Self-Driving (Supervised) software on the Pacific Coast Highway (PCH) and other highways, the vehicle’s automated steering system repeatedly malfunctions by failing to maintain lane centering. Specifically, the car drifts or actively steers across double yellow lines into the lane of oncoming traffic. This issue is a persistent failure of the Advanced Driver Assistance System (ADAS) and Lane Keeping Assistance. The vehicle has attempted this maneuver multiple times at [Approximate Speed, e.g., 40-60 mph], requiring immediate and forceful manual steering intervention to"
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM,Safety-critical control issue,7,0,76,High,Product Quality + Dealer Service,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,"Submitted Under 49 CFR §552.3 Request for Defect Investigation & Safety Recall Tesla Model 3 / Model Y: Interior High-Voltage Heater Fire Hazard, Missing Firewall, and Entrapment Due to Electronic Door Failures. My 2022 Tesla Model 3 experienced an interior flash fire caused by a design defect. Tesla placed the high-voltage PTC cabin heater and HV wiring inside the dashboard with no firewall. After a crash, I saw a straight “strip flame” shoot out of the HVAC dash vent, exactly like a gas heater. The fire began INSIDE the dash/HVAC ducting within seconds of impact, not from the battery. This s"
2021 Tesla Model 3,Tesla,Model 3,2021,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,128,0,75,High,Customer Support Intake,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,"Component/System involved: Advanced Driver Assistance Systems — FSD (Supervised)/Autosteer (Lane Keeping Assistance) and Adaptive Cruise Control. Possible failure to warn/stop (FCW/AEB). Vehicle and data are available for inspection upon request. I preserved dashcam files and requested Tesla to preserve engineering logs and EDR. What happened & safety risk: On [XXX] at ~[XXX] PDT on [XXX] near East Palo Alto, CA, with FSD (Supervised) engaged, the system appeared to misinterpret an exit ramp/gore area as a continuing lane at a highway fork and maintained ~60 mph (posted ~70). As soon as I saw "
2022 Tesla Model 3,Tesla,Model 3,2022,SERVICE BRAKES,Safety-critical control issue,91,0,75,High,Dealer Service + Product Quality,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,Tesla Model 3 while using the “FSD” or auto pilot mode will do what’s called “phantom breaking” with its emergency breaking system. This is very scary and has almost caused more accidents than preventing them in my experience. Tesla had not addressed or fixed this issue even with their constant software updates. How is this FSD considered legal I wonder.
2021 Honda Civic,Honda,Civic,2021,VEHICLE SPEED CONTROL,Safety-critical control issue,2,0,75,High,Customer Support Intake,24 hours,Escalate to product quality and service operations for pattern review within 24 hours.,Driving down the highway about 70 mph and it started to rain so little that I had not even needed the wipers yet. Then out of nowhere with absolutely no warning what so ever the breaks locked up and the car began to slide and was completely unresponsive to any solution possible. The steering wheel was locked in place and the break peddle was so far to the floor I was not able to reach it. After colliding with the propane delivery truck which I was unable to see due to passanger side airbags which inflated unnecessarily with no passanger in the vehicle. After finally coming to a stop I was goin
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ELECTRICAL SYSTEM,Electrical / software issue,40,0,73,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"2021 Silverado tailgates often stop working due to a faulty, corroded electronic switch caused by water intrusion. A major 2020-2024 GM recall exists for this, which can cause unexpected opening. Check for corrosion in the tailgate switch/connector, a pinched wiring harness, or check for a blown fuse. This is the 2nd time my truck is at ganley Chevy in Cleveland Ohio. They already fixed 1 rotted wire due to corrosion. And now having same issue again that tailgate won’t open. They told me approximately 1000.00 to find and MAYBE fix the problem. This truck should be included in the recall as to "
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ELECTRICAL SYSTEM,Safety-critical control issue,9,0,71,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"A week or two before I took my truck into decorah Chevy isr because tailgate was going up and down all by itself while I was driving or parked without me by it. They said it was just the latch button . So they fixed it they said and still my blinker lights would just come on and then I hit a deer and my seatbelt did not latch and my airbags didn't deploy even though my app says they did. I'm wondering if all three are connected with electrical . Either way my air bags did not deploy and my truck has extensive damage and my seatbelt didn't lock ,"
2021 Hyundai Tucson,Hyundai,Tucson,2021,SERVICE BRAKES,Safety-critical control issue,9,1,71,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The issue started just before my vehicle had 60,000 miles on it and only occurred every once and a while but, now it happens more often. When braking at low speeds my car makes a hissing/buzzing noise and the pedal goes soft. We got to a dealership when it had 60,420 miles on it. The dealership had it for two weeks saying they have never experienced anything like this issue before. They even contacted Hyundai Tech to help them. No warning lights ever came on and that was my concern. Finally after two weeks they said my tone ring on my driver's front side was bad and causing a false 0 reading. "
2022 Tesla Model 3,Tesla,Model 3,2022,VEHICLE SPEED CONTROL,Safety-critical control issue,99,0,70,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I'm not quite sure what component was affected, some module of some sort got water in or near it that wasn't supposed to. It is available for inspection. Yes my safety and others was out at risk. Yes the problem was fixed by service center supposedly. Yes the car has been inspected by the manufacturer. There were no warnings. What happened was on 12/29 I was driving the car and out of absolutely nowhere a bunch of warnings came up including loss of ABS, any and all safety features. And more importantly lost usage of brakes almost entirely when car came to a stop it was grinding and shakey. Thi"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,SEAT BELTS,Safety-critical control issue,3,2,70,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I am submitting a safety complaint regarding a vehicle restraint system failure. I was involved in a collision with a deer. During the incident, the seat belt pretensioner activated; however, the seat belt did not properly restrain me. I experienced forward movement despite the pretensioner activation. The airbags did not deploy. Because pretensioner activation is intended to lock and tighten the seat belt during a collision, I am concerned that the restraint system failed to function as designed. This raises concerns about occupant safety and the ability of the seat belt system to provide pro"
